name, expansion, age, cost, build_time, hit_points, line_of_sight, armor, range, reload_time, attack, special
Barracks, Age of Kings, Dark, {"Wood": 175}, 50, 1200,5,0/7,,,,Garrison: 10 created units
Dock, Age of Kings, Dark, {"Wood": 150}, 35, 1800,5,0/7,,,,Garrison: 10 created units
Farm, Age of Kings, Dark, {"Wood": 60},15, 480,0, 0/0,,,,Standard = 175 Food;Horse Collar = 250 Food;Heavy Plow = 375 Food;Crop Rotation = 550 Food
Fish Trap, Age of Kings, Dark, {"Wood": 100},53, 50,1, 0/0,,,,Gives 715 Food
House, Age of Kings, Dark, {"Wood": 30}, 25, 900,1, 0/7,,,,Supports 5 population
Lumber Camp, Age of Kings, Dark, {"Wood": 100}, 35, 1000,5, 0/7,,,,
Mill, Age of Kings, Dark, {"Wood": 100}, 35, 1000,5, 0/7,,,,Max 40 farms queued
Mining Camp, Age of Kings, Dark, {"Wood": 100}, 35, 1000,5, 0/7,,,,
Town Center, Age of Kings, Dark, {"Wood": 275;"Stone": 100}, 150, 2400,7, 3/5,6,2.0,5,15 units (supports 5 population);max 10 arrows;+5 vs all buildings;+5 vs ships/camels
Archery Range, Age of Kings, Feudal, {"Wood": 175}, 50, 1500,5, 1/8,,,,Garrison: 10 created units
Barracks, Age of Kings, Feudal, {"Wood": 175}, 50, 1500,5, 1/8,,,,Garrison: 10 created units
Blacksmith, Age of Kings, Feudal, {"Wood": 150}, 40, 2100,5, 1/8,,,,
Dock, Age of Kings, Feudal, {"Wood": 150}, 35, 1800,5, 1/8,,,,Garrison: 10 created units
House, Age of Kings, Feudal, {"Wood": 30}, 25, 900,1, 1/8,,,,Supports 5 population
Lumber Camp, Age of Kings, Feudal, {"Wood": 100}, 35, 1000,5, 1/8,,,,
Market, Age of Kings, Feudal, {"Wood": 175}, 60, 2100,4, 1/8,,,,
Mill, Age of Kings, Feudal, {"Wood": 100}, 35, 1000, 5, 1/8,,,,Max 40 farms queued
Mining Camp, Age of Kings, Feudal, {"Wood": 100}, 35, 1000,5, 1/8,,,,
Stable, Age of Kings, Feudal, {"Wood": 175}, 50, 1500,5, 1/8,,,,Garrison: 10 created units
