name, expansion, age, develops_in, cost, build_time, applies_to, description
Crossbowman, Age of Kings, Castle, Archery Range, {"Food": 125; "Gold": 75}, 35, Archer, Upgrade to Crossbowman
Thumb Ring, Age of Kings, Castle, Archery Range, {"Food": 300; "Wood": 250}, 45, Archer;Cavalry Archer, Faster reload time (10-20%) and 100% accuracy
Arbalest, Age of Kings, Imperial, Archery Range, {"Food":350; "Gold": 300}, 50, Crossbowman, Upgrade to Arbalest
Elite Skirmisher, Age of Kings, Imperial, Archery Range, {"Wood":250; "Gold": 160}, 50, Skirmisher, Upgrade to Elite Skirmisher
Heavy Cavalry Archer, Age of Kings, Imperial, Archery Range, {"Food":900; "Gold": 500}, 50, Cavalry Archer, Upgrade to Cavalry Archer
Parthian Tactics, Age of Kings, Imperial, Archery Range, {"Food":200; "Gold": 250}, 65, Cavalry Archer;Mangudai, +1/+2 AR and Cavalry Archer +4 and Mangudai +2 agains pikeman
Man At Arms, Age of Kings, Feudal, Barracks, {"Food": 40; "Gold": 40}, 40, Militia, Upgrade to Man at Arms
Tracking, Age of Kings, Feudal, Barracks, {"Food": 75}, 35, Infantry, +2 Line of Sight and +2 Search Radius
Long Swordman, Age of Kings, Castle, Barracks, {"Food": 200; "Gold": 65},45, Man At Arms, Upgrade to Long Swordman
Pikeman, Age of Kings, Castle, Barracks, {"Food": 215; "Gold": 90}, 45, Spearman, Upgrade to Spearman
Squires, Age of Kings, Castle, Barracks, {"Food": 200}, 40, Infantry, Movement Rate * 1.1
Champion, Age of Kings, Imperial, Barracks, {"Food": 750; "Gold": 350}, 100, Two Handed Swordsman, Upgrade to Champion
Elite Eagle Warrior, The Conquerors, Imperial, Barracks, {"Food": 800; "Gold": 500}, 40, Eagle Warrior, Upgrade to Elite Eagle Warrior
Halberdier, The Conquerors, Imperial, Barracks, {"Food": 300; "Gold": 600}, 50, Pikeman, Upgrade to Halberdier
Two Handed Swordsman, Age of Kings, Imperial, Barracks, {"Food": 300; "Gold": 100}, 75, Long Swordman, Upgrade to Long Swordsman
Fletching, Age of Kings, Feudal, Blacksmith, {"Food": 100; "Gold": 50}, 30, Arrow shooting units and structures, +1 attack +1 range +1 Line of sight +1 search radius
Forging, Age of Kings, Feudal, Blacksmith, {"Food": 150}, 50, Infantry;Cavalry, +1 attack
Padded Archer Armor, Age of Kings, Feudal, Blacksmith, {"Food": 100}, 40, Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador, +1/+1 armor
Scale Barding Armor, Age of Kings, Feudal, Blacksmith, {"Food": 150}, 45, Cavalry, +1/+1 armor
Scale Mail Armor, Age of Kings, Feudal, Blacksmith, {"Food": 100}, 40, Infantry, +1/+1 armor
Bodkin Arrow, Age of Kings, Castle, Blacksmith, {"Food":200;"Gold":100}, 35, Arrow shooting units and structures, +1 attack +1 range +1 Line of sight +1 search radius
Chain Barding Armor, Age of Kings, Castle, Blacksmith, {"Food":250;"Gold":150}, 60, Cavalry, +1/+1 armor
Chain Mail Armor, Age of Kings, Castle, Blacksmith, {"Food": 300; "Gold": 100}, 55, Infantry, +1/+1 armor
Iron Casting, Age of Kings, Castle, Blacksmith, {"Food": 220; "Gold": 120}, 70, Infantry;Cavalry, +1 attack
Leather Archer Armor, Age of Kings, Castle, Blacksmith, {"Food": 150; "Gold": 150}, 55, Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador, +1/+1 armor
Blast Furnace, Age of Kings, Imperial, Blacksmith, {"Food": 275; "Gold": 225}, 100, Infantry;Cavalry, +2 attack
Bracer, Age of Kings, Imperial, Blacksmith, {"Food":300;"Gold":200}, 40, Arrow shooting units and structures, +1 attack +1 range +1 Line of sight +1 search radius
Plate Barding Armor, Age of Kings, Imperial, Blacksmith, {"Food":350;"Gold":200}, 75, Cavalry, +1/+2 armor
Plate Mail Armor, Age of Kings, Imperial, Blacksmith, {"Food": 300; "Gold": 150}, 70, Infantry, +1/+2 armor
Ring Archer Armor, Age of Kings, Imperial, Blacksmith, {"Food": 250; "Gold": 250}, 70, Archer;Cavalry Archer;Skirmisher;Hand Cannoneer;Conquistador, +1/+2 armor
Conscription, Age of Kings, Imperial, Castle, {"Food": 150; "Gold": 150}, 60, Barracks;Archer Range;Stable;Castle, Work Rate * 1.33 (Units created 25% faster)
Hoardings, Age of Kings, Imperial, Castle, {"Food": 400; "Gold": 400}, 75, Castle, +21% HP (HP*1.21 - 5808 HP)
Sappers, Age of Kings, Imperial, Castle, {"Food": 400; "Gold": 200}, 10, Villagers, +15 attack vs buildings and stone defenses
Spies, Age of Kings, Imperial, Castle, {"Gold": 200; "Enemy Villager": 1}, 1, Random map games, Show enemy line of sight
Treason, Age of Kings, Imperial, Castle, {"Gold": 400}, 1, Regicide games, Glare enemy king's location for a few seconds
Careening, Age of Kings, Castle, Dock, {"Food": 250; "Gold": 150}, 50, Ships, +0/+1 armor also transport ships carry +5 units
War Galley, Age of Kings, Castle, Dock, {"Food": 230; "Gold": 100}, 50, Galley, Upgrade to War Galley
Cannon Galleon, Age of Kings, Imperial, Dock, {"Food": 400; "Wood": 500}, 50, Cannon Galleon, Allows creation of Cannon Galleons
Dry Dock, Age of Kings, Imperial, Dock, {"Food": 600; "Gold": 400}, 60, Ships, Movement rate * 1.15 (+15%) and transport ships carry +10 units
Elite Cannon Galleon, Age of Kings, Imperial, Dock, {"Wood": 525; "Gold": 500}, 30, Cannon Galleon, Upgrade to Elite Cannon Galleon
